ais,name_text,category_text,price_text,price_num,flavours_text,flavours_each_approved,flavours_count_approx,vgpg_text,nicotine_size_num,nicotine_num,nicotine_min,nicotine_max,nicotine_approved,size_min,size_max,disposable_keyword,url,buttons_text,details_text,name_2nd
https://www.vapo.co.nz,Tobacco | VAPO E-Liquid,VAPO,$20.00,20,Tobacco,TRUE,1,35/65,,,,,TRUE,,,FALSE,https://www.vapo.co.nz/Tobacco | VAPO E-Liquid,"30ml 100ml 
 18mg/mL 12mg/mL 9mg/mL 6mg/mL 3mg/mL 0mg/mL","Tobacco is smooth and subtle. This go-to fan favourite is a reliable classic. Whether you're a seasoned pro or a newcomer to the vaping world, our Tobacco e-liquid offers a refined taste that's sure to satisfy. 

VAPO E-Liquid is formulated to the highest standards by Myriad Pharmaceuticals in an ISO7 clean room right here in New Zealand. Our e-liquid is independently tested to ensure no traces of diacetyl or acetyl propionyl are detected in our flavours.

VAPO E-Liquid contains Propylene Glycol, Glycerin, Nicotine (excluding 0mg/mL), and select food-grade flavourings.

Recycle your vape juice bottles here with VapeCycle, New Zealand's free vape recycling programme!
New Zealand-made
PG/VG Ratio

0mg/mL 25:75
3mg/mL 25:75
6mg/mL 30:70
9mg/mL 30:70
12mg/mL 35/65
18mg/mL 40:60",Tobacco
https://www.vapo.co.nz,Tobacco | Bud Replacement Pod 2-Pack,Bud,$24.99,24.99,Tobacco,TRUE,1,,,,,,TRUE,,,TRUE,https://www.vapo.co.nz/Tobacco | Bud Replacement Pod 2-Pack,,"Bud Tobacco is for our buds who love smooth, earthy classic tobacco. The rich, smoky flavour is ideal for those transitioning away from cigarettes.

You may be familiar with Bud disposables, but it’s time to get buddy-buddy with Bud Pods!

Now, you can taste Bud in a reusable device! With a massive 8000 puffs per pod pack and 4000 puffs per pod, we know you’ll love the long-lasting Bud Pods, perfect for extended vaping sessions!

Each pod is prefilled with 7ml of nicotine salt e-liquid and features an integrated mesh coil that enhances flavour consistency and ensures efficient e-liquid saturation while producing impressive vapour. 

Once you’ve finished your pod, replace it with a new one! Choose from over 10 vape flavours, including Tobacco, Mint, Grape Mint, Sour Apple and more.

Bud e-liquid is specially formulated for Bud Pods. The e-liquid contains Propylene Glycol (PG), Vegetable Glycerine (VG), Nicotine Salts, and selected food-grade flavourings and involves rigorous quality control procedures.

Bud Pods are fully recyclable thanks to VapeCycle, the first vape recycling programme in New Zealand. Check out how to recycle your vape pods for free here!

Bud Pods are compatible with all Bud Devices.
8000 puffs per pod pack
4000 puffs per pod
Integrated mesh coil
Recyclable
Coil: Mesh
E-liquid Capacity: 7.0ml
2x 7mL Bud Pods

Bud’s coil boasts superior functionality through its innovative mesh design, optimising airflow and heat distribution for unparalleled performance. This advanced coil technology enhances flavour consistency and ensures efficient e-liquid saturation, producing impressive vapour.

Enjoy a fulfilling vaping experience with the high-performing Bud, leveraging cutting-edge mesh coil technology for optimal flavour and longevity.",Tobacco
https://www.vapo.co.nz,Peppermint | solo Disposable Vape,solo,$9.99,9.99,Peppermint,TRUE,1,,,,,,TRUE,,,TRUE,https://www.vapo.co.nz/Peppermint | solo Disposable Vape,20mg/mL,"solo Peppermint is a delightful blend of minty freshness and subtle sweetness. Each draw features vibrant, true-to-tase peppermint flavour with an intensely cool edge. 

solo Spearmint captures the essence of crisp, clean, freshly picked spearmint leaves, offering a satisfying burst of coolness with every draw. Immerse your senses in the aroma and delicious taste of spearmint. 

solo is a lightweight, disposable vape that comes fully charged and is prefilled with nicotine salt e-liquid for a pod-free, hassle-free experience.

Enjoy up to 1000 satisfying puffs with outstanding flavour production and smooth vapour thanks to the latest mesh coil technology. solo is the perfect disposable for easy vaping anytime, anywhere.

Flavours are made with Propylene Glycol (PG), Vegetable Glycerine (VG), Nicotine Salts, and selected food-grade flavourings and are formulated under the highest safety standards.

Recycle your disposable vapes with VapeCycle, the first vape recycling programme in New Zealand. Check out how to recycle your vape for free here!

Child Lock Mechanism: To lock/unlock, press the button at the device's base FIVE times. The device will automatically lock 10 minutes after your last puff.
Up to 1000 Puffs
Upgraded Mesh Coil
Redesigned Mouthpiece
Recyclable
Fully Compliant with NZ Regulations (Child lock mechanism, removable battery, new flavour name, reduced nicotine strength)
Coil: Mesh
Puffs: Up to 1000
E-liquid: 3.5ml
Battery Capacity: 550mAh
Size: 116.4x16mm
Utilising a superior mesh coil, optimised for longevity and engineered for enhanced flavour, solo features smooth hits on every puff. 

The upgraded mesh coil combines efficiency and consistency, allowing users to enjoy improved vapour production and intensely satisfying flavour without sacrificing power, thanks to the mesh coil’s ability to rapidly reach the optimal vaping temperature.

Enjoy long-lasting, smooth draws and a mess-free experience.",Peppermint
