name,brand,category,nicotine,flavour,vg_pg
Sour Apple -Salty Smart Bar Replacement Pod,Salty Puff World E-liquid,Vape Devices,19.95mg/mL (Nicotine salt strength 35mg/mL),Sour Apple,45/55
Grape Mint E-liquid,Tote Aoturoa,E-Liquids,3mg/ml - 6mg/ml,"Green Grape, hint of ice",55/45
