name,category,nicotine_type,nicotine_min,nicotine_max,size_min,size_max,flavour,flavours_all_approved,flavours_count,disposable_keyword
salty-krush-world-watermelon-soda-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,0,28.5,30,30,"Watermelon, melon, soda water, a hint of ice",FALSE,4,FALSE
salty-krush-world-banana-milkshake-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,0,22.8,30,30,"Banana, Milk, a Hint of Ice",FALSE,3,FALSE
salty-krush-world-cold-beer-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,11.4,28.5,30,30,"Roasted Barley, Hop, Mint",FALSE,3,FALSE
shisha-hookah-blade-1xhose-32cm,Hookahs,,,,,,,,,FALSE
shisha-hookah-2xhoses-with-bag-23cm,Hookahs,,,,,,,,,FALSE
quasar-raas-thermic-head-shisha-bowl,Hookahs,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f1,Smoking,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f3,Smoking,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f2,Smoking,,,,,,,,,FALSE
salty-kiwi-world-blueberry-raspberries-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,0,28.5,30,30,"Cranberry, Raspberry, Berry",FALSE,3,FALSE
salty-kiwi-world-kiwi-strawberry-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,0,28.5,30,30,"Kiwi, Strawberry",FALSE,2,FALSE
salty-kiwi-world-feijoapeach-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,11.4,28.5,30,30,"Feijoa, Peach",FALSE,2,FALSE
salty-kiwi-world-ice-blue-raspberry-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,0,28.5,30,30,"Ice, Blueberry, Raspberry",FALSE,3,FALSE
salty-kiwi-world-ice-feijoa-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,0,28.5,30,30,"Ice, Feijoa",FALSE,2,FALSE
salty-kiwi-world-ice-berry-kiwi-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,0,22.8,30,30,"Ice, Raspberry, Blueberry, Blackcurrant, Kiwi",FALSE,5,FALSE
salty-kiwi-world-ice-grape-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,0,28.5,30,30,"Ice, Grape",FALSE,2,FALSE
jet-flame-kiwi-lighter-f4,Smoking,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f5,Smoking,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f6,Smoking,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f12,Smoking,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f8,Smoking,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f9,Smoking,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f10,Smoking,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f11,Smoking,,,,,,,,,FALSE
vaporesso-luxe-pm40-replacement-pods,Vape Devices,,,,,,,,,FALSE
geekvape-aegis-hero-replacement-pod,Vape Devices,,,,,,,,,FALSE
lawless-dollop,Heat Not Burn,,,,,,,,,FALSE
lawless-dollop-replacement-coils,Heat Not Burn,,,,,,,,,FALSE
lawless-dollop-glass-mouthpiece,Heat Not Burn,,,,,,,,,FALSE
lawless-dollop-14mm-18mm-glass-connector,Heat Not Burn,,,,,,,,,FALSE
volcano-classic-gold-edition,Heat Not Burn,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f20,Smoking,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f21,Smoking,,,,,,,,,FALSE
nbt-rick-morty-metal-grinder-55mm-4xparts,Smoking,,,,,,,,,FALSE
smok-ipx80-pod-kit,Vape Devices,,,,,,,,,FALSE
vaporesso-gtr-replacement-coil,Vape Devices,,,,,,,,,FALSE
vaporesso-forz-tx80-replacement-glass,Vape Devices,,,,,,,,,FALSE
salty-tropical-world-banana-ice-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,0,28.5,30,30,"Banana, Ice",FALSE,2,FALSE
hel-vape-810-drip-tip,Vape Devices,,,,,,,,,FALSE
smoka-vape-810-drip-tip,Vape Devices,,,,,,,,,FALSE
salty-tropical-world-iced-berry-peach-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,0,28.5,30,30,"Ice, Blueberry, Raspberry, Blackcurrant, Peach",FALSE,5,FALSE
salty-tropical-world-raspberry-peach-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,11.4,28.5,30,30,"Raspberry, Peach",TRUE,2,FALSE
salty-tropical-world-iced-mango-berry-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,0,28.5,30,30,"Golden Mango, Raspberry, Blueberry, Blackberry, Ice",FALSE,5,FALSE
salty-tropical-world-ice-mango-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,0,28.5,30,30,"Ice, Mango",FALSE,2,FALSE
salty-tropical-world-lemon-and-lime-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,0,28.5,30,30,"Lemon, Lime",TRUE,2,FALSE
nbt-metal-grinder-63mm-4xparts,Smoking,,,,,,,,,FALSE
shisha-glass-diamond-hookah-1xhose-55cm,Hookahs,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f17,Smoking,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f13,Smoking,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f14,Smoking,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f16,Smoking,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f15,Smoking,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f18,Smoking,,,,,,,,,FALSE
jet-flame-kiwi-lighter-f19,Smoking,,,,,,,,,FALSE
shisha-glass-shadow-hookah-1xhose-45cm,Hookahs,,,,,,,,,FALSE
premium-shisha-hose,Hookahs,,,,,,,,,FALSE
shisha-hookah-1xhose-85cm,Hookahs,,,,,,,,,FALSE
shisha-glass-lg-1-hookah-1xhose-50cm,Hookahs,,,,,,,,,FALSE
shisha-glass-lg-2-hookah-1xhose-55cm,Hookahs,,,,,,,,,FALSE
shisha-glass-lg-3-hookah-1xhose-50cm,Hookahs,,,,,,,,,FALSE
shisha-glass-lg-4-hookah-1xhose-45cm,Hookahs,,,,,,,,,FALSE
shisha-glass-lg-8-hookah-1xhose-65cm,Hookahs,,,,,,,,,FALSE
nbt-b-29-art-decoration-metal-grinder-50mm-4xparts,Smoking,,,,,,,,,FALSE
shisha-glass-lg-15-hookah-1xhose-42cm,Hookahs,,,,,,,,,FALSE
shisha-glass-lg-14-hookah-1xhose-42cm,Hookahs,,,,,,,,,FALSE
shisha-glass-lg-18-hookah-1xhose-38cm,Hookahs,,,,,,,,,FALSE
nz-scale-calibration-weight-10gm,Smoking,,,,,,,,,FALSE
shisha-glass-lg-5-hookah-1xhose-92cm,Hookahs,,,,,,,,,FALSE
nbt-b-555-metal-grinder-50mm-4xparts,Smoking,,,,,,,,,FALSE
shosha-disposable-tank-4ml,Vape Devices,,,,,,,,,TRUE
smok-nord-4-replacement-pods,Vape Devices,,,,,,,,,FALSE
magical-butter-mb2e-240v-machine,Smoking,,,,,,,,,FALSE
kiwi-vapor-chewberry-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,11.4,22.8,30,30,"Sweet Strawberry, Chewy Candy",FALSE,2,FALSE
kiwi-vapor-icy-apple-nicotine-salt-e-liquid-30ml,E-Liquids,Nicotine Concentration,11.4,22.8,30,30,"Red Apple, Green Apple, Menthol",FALSE,3,FALSE
